country,province,location_label,population
Australia,Australia,Australia / Australia,8089526
Australia,New South Wales,Australia / New South Wales,809952
Australia,Queensland,Australia / Queensland,5095100
Australia,South Australia,Australia / South Australia,1751693
Australia,Tasmania,Australia / Tasmania,534281
Australia,Victoria,Australia / Victoria,6594804
Australia,Western Australia,Australia / Western Australia,2621680
Australia,Australian Capital Territory,Australia / Australian Capital Territory,426709
Canada,Ontario,Canada / Ontario,14659616
Canada,Quebec,Canada / Quebec,8522800
Canada,British Columbia,Canada / British Columbia,5105576
Canada,Alberta,Canada / Alberta,4395586
Canada,Manitoba,Canada / Manitoba,1373859
Canada,Saskatchewan,Canada / Saskatchewan,1178657
Canada,Nova Scotia,Canada / Nova Scotia,976768
Canada,New Brunswick,Canada / New Brunswick,780021
Canada,Newfoundland and Labrador,Canada / Newfoundland and Labrador,521922
Canada,Prince Edward Island,Canada / Prince Edward Island,157901
Canada,Northwest Territories,Canada / Northwest Territories,44895
Canada,Nunavut,Canada / Nunavut,38873
Canada,Yukon,Canada / Yukon,41022
China,Anhui,China / Anhui,62550000
China,Beijing,China / Beijing,21710000
China,Chongqing,China / Chongqing,30750000
China,Fujian,China / Fujian,39110000
China,Gansu,China / Gansu,26260000
China,Guangdong,China / Guangdong,111690000
China,Guangxi,China / Guangxi,48850000
China,Guizhou,China / Guizhou,35550000
China,Hainan,China / Hainan,9170000
China,Hebei,China / Hebei,75200000
China,Heilongjiang,China / Heilongjiang,37890000
China,Henan,China / Henan,95590000
China,Hong Kong,China / Hong Kong,7335384
China,Hubei,China / Hubei,59020000
China,Hunan,China / Hunan,68600000
China,Inner Mongolia,China / Inner Mongolia,25290000
China,Jiangsu,China / Jiangsu,80290000
China,Jiangxi,China / Jiangxi,46220000
China,Jilin,China / Jilin,27170000
China,Liaoning,China / Liaoning,43690000
China,Ningxia,China / Ningxia,6820000
China,Shaanxi,China / Shaanxi,38350000
China,Shandong,China / Shandong,100060000
China,Shanghai,China / Shanghai,24180000
China,Shanxi,China / Shanxi,36820000
China,Sichuan,China / Sichuan,83020000
China,Tianjin,China / Tianjin,15570000
China,Xinjiang,China / Xinjiang,24450000
China,Yunnan,China / Yunnan,48010000
China,Zhejiang,China / Zhejiang,56570000
US,Alabama,US / Alabama,4903185
US,Alaska,US / Alaska,731545
US,Arizona,US / Arizona,7278717
US,Arkansas,US / Arkansas,3017804
US,California,US / California,39512223
US,Colorado,US / Colorado,5758736
US,Connecticut,US / Connecticut,3565287
US,Delaware,US / Delaware,973764
US,District of Columbia,US / District of Columbia,705749
US,Florida,US / Florida,21477737
US,Georgia,US / Georgia,10617423
US,Hawaii,US / Hawaii,1415872
US,Idaho,US / Idaho,1787065
US,Illinois,US / Illinois,12671821
US,Indiana,US / Indiana,6732219
US,Iowa,US / Iowa,3155070
US,Kansas,US / Kansas,2913314
US,Kentucky,US / Kentucky,4467673
US,Louisiana,US / Louisiana,4648794
US,Maine,US / Maine,1344212
US,Maryland,US / Maryland,6045680
US,Massachusetts,US / Massachusetts,6892503
US,Michigan,US / Michigan,9986857
US,Minnesota,US / Minnesota,5639632
US,Mississippi,US / Mississippi,2976149
US,Missouri,US / Missouri,6137428
US,Montana,US / Montana,1068778
US,Nebraska,US / Nebraska,1934408
US,Nevada,US / Nevada,3080156
US,New Hampshire,US / New Hampshire,1359711
US,New Jersey,US / New Jersey,8882190
US,New Mexico,US / New Mexico,2096829
US,New York,US / New York,19453561
US,North Carolina,US / North Carolina,10488084
US,North Dakota,US / North Dakota,762062
US,Ohio,US / Ohio,11689100
US,Oklahoma,US / Oklahoma,3956971
US,Oregon,US / Oregon,4217737
US,Pennsylvania,US / Pennsylvania,12801989
US,Rhode Island,US / Rhode Island,1059361
US,South Carolina,US / South Carolina,5148714
US,South Dakota,US / South Dakota,884659
US,Tennessee,US / Tennessee,6829174
US,Texas,US / Texas,28995881
US,Utah,US / Utah,3205958
US,Vermont,US / Vermont,623989
US,Virginia,US / Virginia,8535519
US,Washington,US / Washington,7614893
US,West Virginia,US / West Virginia,1792147
US,Wisconsin,US / Wisconsin,5822434
US,Wyoming,US / Wyoming,578759
US,Puerto Rico,US / Puerto Rico,3193694
