Country,Province_State,Population
Australia,New South Wales,8089526
Canada,British Columbia,4648055
Canada,Ontario,13448494
China,Anhui,62550000
China,Beijing,21710000
China,Chongqing,30750000
China,Fujian,39110000
China,Gansu,26260000
China,Guangdong,111690000
China,Guangxi,48850000
China,Guizhou,35550000
China,Hainan,9170000
China,Hebei,75200000
China,Heilongjiang,37890000
China,Henan,95590000
China,Hong Kong,7335384
China,Hubei,59020000
China,Hunan,68600000
China,Inner Mongolia,25290000
China,Jiangsu,80290000
China,Jiangxi,46220000
China,Jilin,27170000
China,Liaoning,43690000
China,Ningxia,6820000
China,Shaanxi,38350000
China,Shandong,100060000
China,Shanghai,24180000
China,Shanxi,36820000
China,Sichuan,83020000
China,Tianjin,15570000
China,Xinjiang,24450000
China,Yunnan,48010000
China,Zhejiang,56570000
Cruise Ship,Diamond Princess,
US,California,39512223
US,Florida,21477737
US,Massachusetts,6949503
US,New York,19453561
US,Washington,7614893
